case_id,base_case_id,current_level,current_profile,fault_terminal,fault_site,fault_component,representative_fault_node,component_type,fault_type,severity,service_years,ambient_temp,vent_state,door_state,t_fault_start,circuit_id,supply_mode,source_voltage_nominal,upstream_path_resistance,fault_x_mm,fault_y_mm,fault_z_mm,surface_area,conv_hA,heat_capacity,fuel_mass,burn_rate,contact_ceiling,contact_loosen_scale,oxide_scale,arc_voltage_base,arc_field_v_per_mm,k_arc_ayrton,arc_growth_coeff,arc_rebridge_coeff,arc_energy_zone_low,arc_energy_zone_high,gas_ignition_threshold,min_ignition_duration,min_arc_hold_current,spread_plume_scale,spread_harness_scale,spread_exposure_gain,spread_gas_threshold_scale,spread_temp_threshold_scale,spread_heat_threshold_scale,spread_exposure_threshold_scale,min_spread_signals,spread_current_floor,spread_current_ref_a,spread_current_span_a,ac_source_phase,ac_extinction_voltage,ac_restrike_voltage,ac_reignition_overshoot,ac_phase_extinction_band,seed
CASE_00011,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,0.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,11001
CASE_00012,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,0.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,12002
CASE_00013,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,13000
CASE_00014,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,14001
CASE_00015,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,15002
CASE_00016,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,16000
CASE_00017,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,17001
CASE_00018,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,18002
CASE_00019,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,19000
CASE_00020,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,20001
CASE_00021,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,21002
CASE_00022,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,22000
CASE_00023,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,23001
CASE_00024,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,5.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,24002
CASE_00025,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,25000
CASE_00026,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,26001
CASE_00027,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,27002
CASE_00028,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,28000
CASE_00029,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,29001
CASE_00030,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,30002
CASE_00031,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,31000
CASE_00032,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,32001
CASE_00033,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,33002
CASE_00034,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,34000
CASE_00035,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,35001
CASE_00036,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,10.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,36002
CASE_00037,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,37000
CASE_00038,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,38001
CASE_00039,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,39002
CASE_00040,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,40000
CASE_00041,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,41001
CASE_00042,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,reduced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,42002
CASE_00043,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,43000
CASE_00044,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,44001
CASE_00045,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,forced,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,45002
CASE_00046,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,46000
CASE_00047,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,47001
CASE_00048,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,20.0,26.0,off,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,48002
CASE_00049,DC_CONSTANT,2.0,constant,KM1_DC,KM1_DC,KM1_DC,KM1_DC,contactor_dc_terminal,poor_contact,0.75,30.0,26.0,normal,closed,120.0,DC_LOOP,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.1,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,7.0,38.0,6.0,0.12,49000
